bout_id,side,action,response,comments,mistake,,,,
1,R,Cc,,,,,,,
1,L,Cc,,,,,,,
1,L,Cc,,,,,,,
1,L,Cc,,,,,,,
1,L,Cc,,,,,,,
1,R,Cc,,,,,,,
1,L,Aan,P,,,,,,
2,L,A,P,,,,,,
2,L,A,P,,,,,,
2,R,A,Csh,,,,,,
2,L,A,Cc,,,,,,
2,L,A,Cc,,,,,,
2,L,cR,Rr,,,,,,
3,L,Ar,,,,,,,
3,L,cR,Ar,,,,,,
3,L,Cc,,,,,,,
3,R,Cc,,,,,,,
3,R,R,P,,,,,,
3,L,Cc,,,,,,,
3,L,Ar,,,,,,,
4,L,A,Cc,,,,,,
4,L,A,Ap,,,,,,
4,R,R,Ar,,,,,,
4,R,A,P,,,,,,
4,L,Cc,,,,,,,
4,L,A,P,,,,,,
4,R,A,A,,,,,,
4,L,Cc,,,,,,,
5,R,Ar,,,,,,,
5,R,R,Ar,,,,,,
5,L,R,Ar,,,,,,
5,L,cR,Rr,,,,,,
5,L,A,Ap,,,,,,
5,R,A,Ap,,,,,,
5,L,Ap,A,,,,,,
5,L,Ap,A,,,,,,
6,R,A,P,,,,,,
6,L,Cc,,,,,,,
6,R,R,P,,,,,,
6,R,Cc,,,,,,,
6,R,Cc,,Two equal attacks countered the same way in a row,,,,,
6,R,R,P,Didn’t need to attack for these last 3 touches,,,,,
7,L,Cc,,,,,,,
7,R,A,P,,,,,,
7,L,A,Cc,,,,,,
7,L,Ar,,,,,,,
7,L,R,Ar,,,,,,
7,R,Ar,,,,,,,
7,L,Ap,,,,,,,
8,L,Ar,,,,,,,
8,R,A,P,,,,,,
8,R,R,P,,,,,,
8,L,R,A,,,,,,
8,R,A,A,Missing the tip could be due to hitting with the arm not fully extended yet. Maybe having it a bit more extended at the point of the hit could be better.,,,,,
8,R,Rrr,,,,,,,
8,L,Ap,,,,,,,
8,R,Arr,,,,,,,
9,L,A,P,,,,,,
9,L,Crr,,,,,,,
9,L,Cc,,,,,,,
9,L,Ar,,,,,,,
9,R,Ap,P,,,,,,
9,R,cRrr,,,,,,,
9,R,A,Cc,,,,,,
9,L,Cc,,,,,,,
10,L,Cc,,,,,,,
10,R,Cc,,,,,,,
10,L,A,P,,,,,,
10,L,A,A,,,,,,
10,R,A,P,,,,,,
10,R,A,Cc,,,,,,
10,L,A,P,,,,,,
10,R,Ar,,,,,,,
10,L,Af,Cd,,,,,,
11,R,A,P,Long attack at the end that I tried to parry,,,,,
11,R,A,Cc,Fake acceleration to invite counter. It seems like at a long distance he will make a long fast attack and at a short distance he will do a fake acceleration.,,,,,
11,L,Cc,,,,,,,
11,R,Cc,,,,,,,
