Fencer,Team,Handedness,2025 SPI,,,,
Jain,UCSD,R,,,,,
McIsaac,Wayne State,,,,,,
Oronowicz,Wayne State,,48,,,,
Chin,Penn State,,38,,,,
"Fukuda, Alessio",Stanford,,,,,,
Burke,Penn State,,73,,,,
Wu,UPenn,,67,,,,
"Zhang, Daniel",Harvard,,102,,,,
Graham,Harvard,,-,,,,
"Chen, Andrew",Harvard,,89,,,,
"Oh, Sean",Air Force,,-,,,,
Morais,Notre Dame,,86,,,,
Stanley,Notre Dame,,83,,,,
"Li, Brandon",Princeton,,91,,,,
Um,Princeton,,92,,,,
"Lee, Jacob",Princeton,,-,,,,
Baumstein,UNC,,78,,,,
Bruk,UNC,,83,,,,
Tsimiklis,UNC,,-,,,,
"Lee, Aidan",Duke,,-,,,,
Mion,Ohio State,,73,,,,
"Fukuda, Renzo",Stanford,,106,,,,
Grifith,Air Force,R,101,,,,
"Li, Richard",Air Force,R,,,,,
